Country,ISO2,ISO3,Indicator,Unit,Source,CTS Code,CTS Name,CTS Full Descriptor,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
United States,US,USA,"Climate related disasters frequency, Number of Disasters: Drought",Number of,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be.",ECCD,Climate Related Disasters Frequency,"Environment, Climate Change, Adaptation, Climate Related Disasters Frequency",,,,,,,,,1.0,,,2.0,,,,,,,,1.0,2.0,,1.0,,,,,1.0,,,,1.0,2.0,,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0
United States,US,USA,"Climate related disasters frequency, Number of Disasters: Extreme temperature",Number of,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be.",ECCD,Climate Related Disasters Frequency,"Environment, Climate Change, Adaptation, Climate Related Disasters Frequency",1.0,,,1.0,,,1.0,1.0,,1.0,2.0,,,1.0,,2.0,,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,2.0,,1.0,1.0,,1.0,1.0,1.0,1.0,,,,,,,1.0,,2.0,1.0
United States,US,USA,"Climate related disasters frequency, Number of Disasters: Flood",Number of,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be.",ECCD,Climate Related Disasters Frequency,"Environment, Climate Change, Adaptation, Climate Related Disasters Frequency",3.0,1.0,2.0,2.0,3.0,5.0,3.0,,3.0,,4.0,14.0,,6.0,1.0,5.0,4.0,8.0,7.0,1.0,8.0,5.0,4.0,4.0,4.0,6.0,11.0,6.0,4.0,4.0,3.0,4.0,1.0,7.0,2.0,5.0,6.0,3.0,3.0,4.0,2.0,12.0,3.0,4.0,3.0
United States,US,USA,"Climate related disasters frequency, Number of Disasters: Landslide",Number of,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be.",ECCD,Climate Related Disasters Frequency,"Environment, Climate Change, Adaptation, Climate Related Disasters Frequency",,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,1.0,,,,,,
United States,US,USA,"Climate related disasters frequency, Number of Disasters: Storm",Number of,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be.",ECCD,Climate Related Disasters Frequency,"Environment, Climate Change, Adaptation, Climate Related Disasters Frequency",3.0,3.0,11.0,6.0,11.0,10.0,2.0,8.0,18.0,16.0,15.0,17.0,27.0,20.0,9.0,10.0,9.0,23.0,20.0,16.0,12.0,17.0,15.0,14.0,12.0,8.0,12.0,13.0,14.0,10.0,12.0,14.0,19.0,15.0,13.0,19.0,16.0,17.0,11.0,14.0,19.0,23.0,18.0,16.0,19.0
United States,US,USA,"Climate related disasters frequency, Number of Disasters: TOTAL",Number of,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be.",ECCD,Climate Related Disasters Frequency,"Environment, Climate Change, Adaptation, Climate Related Disasters Frequency",7.0,4.0,13.0,9.0,14.0,15.0,6.0,9.0,22.0,17.0,21.0,35.0,29.0,28.0,14.0,17.0,14.0,33.0,32.0,22.0,30.0,26.0,29.0,22.0,20.0,16.0,29.0,23.0,21.0,17.0,15.0,23.0,25.0,28.0,19.0,29.0,26.0,24.0,19.0,20.0,23.0,43.0,26.0,25.0,29.0
United States,US,USA,"Climate related disasters frequency, Number of Disasters: Wildfire",Number of,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be.",ECCD,Climate Related Disasters Frequency,"Environment, Climate Change, Adaptation, Climate Related Disasters Frequency",,,,,,,,,,,,2.0,2.0,1.0,3.0,,1.0,2.0,4.0,3.0,7.0,3.0,8.0,3.0,3.0,1.0,4.0,3.0,2.0,2.0,,3.0,2.0,5.0,1.0,4.0,4.0,3.0,3.0,2.0,1.0,6.0,4.0,2.0,5.0
United States,US,USA,"Climate related disasters frequency, Number of People Affected: Drought",Number of,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be.",,,,,,,,,,,,0.0,,,0.0,,,,,,,,0.0,0.0,,0.0,,,,,0.0,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
United States,US,USA,"Climate related disasters frequency, Number of People Affected: Extreme temperature",Number of,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be.",,,,0.0,,,0.0,,,0.0,0.0,,0.0,0.0,,,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,31.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,25.0,0.0
United States,US,USA,"Climate related disasters frequency, Number of People Affected: Flood",Number of,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be.",,,,117000.0,0.0,0.0,0.0,5500.0,5550.0,2000.0,,0.0,,3350.0,0.0,,43900.0,14070.0,115300.0,243115.0,191374.0,37000.0,100.0,3646.0,23800.0,147750.0,3200.0,5340.0,18258.0,74060.0,8810.0,11032648.0,9960.0,1000.0,36100.0,300.0,34725.0,102040.0,28650.0,91000.0,370.0,1596.0,16600.0,13000.0,1876.0,1075.0,2126.0,6564.0
United States,US,USA,"Climate related disasters frequency, Number of People Affected: Landslide",Number of,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be.",,,,,,,,,,,,,,,,,,125.0,,,,,,,,,15.0,,,,,,,,,,,150.0,,,,1366.0,,,,,,
United States,US,USA,"Climate related disasters frequency, Number of People Affected: Storm",Number of,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be.",,,,570.0,0.0,51500.0,6000.0,14657.0,1020500.0,80.0,3200.0,0.0,25100.0,10668.0,3000.0,295055.0,600.0,21750.0,92160.0,4131.0,4892.0,153621.0,3058870.0,23154.0,181053.0,18899.0,243647.0,5079710.0,830305.0,5663.0,8317.0,2301147.0,908.0,10941.0,389193.0,90404.0,177474.0,1215.0,4576.0,85019468.0,854401.0,1505093.0,1486.0,28431.0,15236.0,3445.0,17385.0,3723.0
United States,US,USA,"Climate related disasters frequency, Number of People Affected: TOTAL",Number of,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be.",,,,117570.0,0.0,51500.0,6000.0,20157.0,1026050.0,2080.0,3200.0,0.0,25100.0,14018.0,3300.0,296045.0,44630.0,37377.0,207460.0,247296.0,197266.0,231842.0,3059989.0,62887.0,204992.0,173137.0,274756.0,5100537.0,850004.0,80308.0,668118.0,13389115.0,11323.0,11941.0,431398.0,93551.0,214574.0,103834.0,46590.0,85118920.0,867075.0,1761295.0,19351.0,41431.0,78969.0,6922.0,28033.0,13526.0
United States,US,USA,"Climate related disasters frequency, Number of People Affected: Wildfire",Number of,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be.",,,,,,,,,,,,,,,300.0,990.0,130.0,1432.0,,50.0,1000.0,41221.0,1019.0,36087.0,139.0,6488.0,27894.0,15487.0,1410.0,585.0,650991.0,55320.0,455.0,,6105.0,2847.0,2375.0,429.0,13364.0,8452.0,12304.0,253240.0,1265.0,0.0,61857.0,2402.0,8497.0,3239.0
